Brand,Model,Battery Capacity (kWh),Efficiency (Wh/km),Top Speed (km/h),Drive Type,Vehicle Weight (kg),Motor Power (kW),Acceleration 0-100 (sec),Charging Time (hours),Range (km)
Volvo,EX90 Performance (v2024),108.6,223.5,192.3,FWD,2624.8,363.0,8.0,3.3,454.0
Chevrolet,Equinox EV (v2024),60.5,208.4,168.1,AWD,2006.0,240.6,9.4,2.4,258.6
Lucid,Air Grand Touring (v2023),75.6,210.5,197.7,AWD,2026.9,452.8,7.6,5.0,339.3
Lucid,Air Touring (v2024),123.5,263.1,258.5,AWD,2730.0,819.4,2.2,5.0,420.0
Rivian,R1T Dual Motor (v2024),65.8,216.0,182.9,AWD,2251.6,318.7,8.5,6.6,270.9
Hyundai,Ioniq 5 N (v2025),64.3,191.7,158.9,FWD,2120.7,157.8,10.2,1.9,322.6
Honda,e (v2024),39.0,186.9,156.8,AWD,1593.7,117.1,10.4,1.5,197.3
Hyundai,Ioniq 6 Standard (v2023),61.5,206.6,156.6,AWD,1833.1,150.4,10.0,2.8,268.4
Jaguar,I-Pace Black (v2024),94.8,235.9,173.8,AWD,2546.9,265.3,8.8,7.0,376.1
Kia,EV9 GT-Line (v2024),53.4,187.8,164.5,FWD,1782.3,215.9,9.3,4.2,277.6
Jaguar,I-Pace HSE (v2023),97.3,221.8,194.7,AWD,2291.1,376.8,7.5,2.4,398.5
Kia,EV9 Light (v2025),62.1,195.0,162.1,FWD,1744.9,217.7,9.7,2.1,282.3
Jaguar,I-Pace Black (v2021),85.7,218.4,161.0,AWD,2342.5,244.8,9.6,3.2,376.3
Honda,Prologue Touring (v2025),39.6,180.2,159.7,RWD,1482.5,170.0,10.3,1.8,204.7
Volvo,EX90 Performance (v2021),55.7,187.6,176.2,FWD,1714.7,244.1,9.4,1.8,280.3
Mercedes,EQS 580 (v2024),87.4,212.3,188.6,RWD,2422.6,313.0,8.3,4.1,372.7
MG,MG4 EV XPOWER (v2024),53.0,179.2,148.2,RWD,1801.9,192.6,9.8,2.1,274.4
Toyota,bZ4X AWD (v2021),47.4,166.1,159.3,FWD,1585.5,141.2,10.4,2.1,277.6
Ford,Mustang Mach-E SR (v2025),78.0,204.8,169.6,FWD,2274.5,260.1,9.0,3.3,350.1
MG,ZS EV Standard (v2025),62.0,200.6,170.9,FWD,1843.5,238.8,9.4,2.0,296.6
Chevrolet,Blazer EV RS (v2024),71.3,222.2,172.6,AWD,2071.9,224.5,9.0,2.6,310.8
Rivian,R1T Dual Motor (v2021),56.2,182.7,196.9,RWD,1907.3,389.7,7.6,2.9,273.1
Toyota,bZ3 (v2021),87.4,236.2,168.6,AWD,2479.2,278.7,9.2,2.6,337.0
BMW,i4 M50 (v2023),104.6,241.8,180.9,AWD,2502.0,370.1,8.0,6.7,396.9
Mercedes,EQS 450+ (v2021),55.0,195.5,155.4,FWD,1648.2,202.8,10.0,2.5,249.8
Kia,Soul EV (v2025),99.7,204.8,187.7,RWD,2428.5,347.7,7.9,6.8,443.8
Volkswagen,ID.5 Pro (v2022),107.1,225.7,208.6,FWD,2414.8,454.6,6.2,5.8,464.5
Polestar,Polestar 2 Standard (v2025),95.3,232.4,178.8,AWD,2616.5,326.3,8.0,2.8,394.7
Jaguar,I-Pace HSE (v2024),99.0,211.5,172.5,FWD,2405.4,255.4,9.3,3.0,421.5
Lucid,Air Sapphire (v2021),96.9,246.5,263.0,AWD,2514.1,782.2,3.3,3.0,347.5
Hyundai,Ioniq 5 Standard (v2024),47.2,196.0,158.6,RWD,1928.3,207.1,8.9,2.0,230.3
Mercedes,EQS 580 (v2023),94.5,222.3,179.7,FWD,2286.1,319.1,9.1,3.6,406.6
Honda,Prologue EX (v2021),35.1,173.0,142.3,FWD,1645.2,101.4,10.7,3.9,183.9
Honda,e:Ny1 (v2025),69.9,211.1,173.3,FWD,2034.4,255.4,9.3,2.5,308.8
Lucid,Air Sapphire (v2022),83.6,226.9,240.4,AWD,2102.0,676.8,3.8,3.0,352.4
Mercedes,EQE 350+ (v2022),70.9,211.3,153.0,FWD,2126.0,201.8,9.8,7.2,318.9
Kia,Soul EV (v2022),77.5,204.1,169.4,FWD,2237.1,296.7,9.1,4.3,343.2
Jaguar,I-Pace Black (v2023),82.9,207.2,169.0,FWD,2323.3,287.1,8.5,2.3,381.0
Mercedes,EQC 400 (v2024),79.2,194.9,159.3,RWD,2125.4,217.0,9.6,6.1,380.5
MG,MG4 EV Long Range (v2024),46.4,189.8,157.1,RWD,1583.2,169.2,9.8,1.3,216.5
Hyundai,Ioniq 6 Standard (v2021),105.5,223.0,177.5,FWD,2599.5,263.6,8.6,3.0,443.3
Rivian,R1T Dual Motor (v2024),52.5,213.1,207.2,AWD,1713.2,469.6,6.2,2.8,221.5
Mercedes,EQS SUV 450 (v2021),95.8,212.0,167.5,FWD,2405.4,221.4,9.3,4.0,420.3
Lucid,Air Sapphire (v2023),64.2,235.7,211.1,AWD,2138.5,542.3,5.8,2.3,245.5
BMW,i5 eDrive40 (v2024),65.5,212.7,171.2,AWD,2104.5,251.6,9.0,2.9,279.9
Volkswagen,ID.5 Pro (v2024),89.7,204.4,195.7,FWD,2168.3,385.4,7.6,5.0,426.0
Mercedes,EQE SUV 350 (v2024),94.6,208.9,170.4,FWD,2313.8,266.1,9.2,3.1,437.0
Chevrolet,Silverado EV WT (v2021),62.3,178.0,166.4,FWD,1735.3,179.0,9.9,3.4,307.9
BYD,Han EV (v2023),103.4,218.5,184.7,FWD,2555.9,413.1,6.7,8.5,430.8
BMW,i4 eDrive40 (v2024),48.9,197.7,159.8,RWD,1829.7,173.0,10.6,3.3,236.8
BYD,Dolphin Standard (v2021),95.8,222.1,171.4,RWD,2378.6,243.1,9.7,2.9,396.3
Toyota,bZ3 (v2024),92.1,209.7,170.1,FWD,2317.1,215.5,9.8,8.3,396.7
Kia,EV6 GT-Line (v2022),77.5,199.1,163.7,FWD,2191.1,184.2,10.1,2.9,360.6
Audi,RS e-tron GT (v2025),103.3,231.2,172.5,RWD,2511.6,259.9,8.9,3.4,398.2
Volvo,XC40 Recharge (v2025),83.6,203.1,180.7,RWD,2024.0,303.5,8.1,5.6,393.2
Mercedes,EQA 250 (v2023),55.6,184.3,165.3,RWD,1870.7,220.9,9.3,1.9,275.1
Hyundai,Ioniq 5 N (v2021),103.2,220.9,200.5,RWD,2239.6,440.8,7.0,4.1,434.8
Polestar,Polestar 4 Dual (v2023),73.9,193.7,181.0,FWD,1983.8,268.2,8.3,5.2,372.1
Ford,F-150 Lightning Extended (v2024),73.4,211.1,165.8,RWD,2099.3,248.6,9.3,2.4,318.2
MG,ZS EV Standard (v2025),67.9,212.6,153.9,AWD,2242.8,181.4,9.6,3.1,301.5
Audi,e-tron GT (v2021),97.7,225.2,181.5,RWD,2505.7,289.6,8.6,6.8,410.2
Polestar,Polestar 4 Dual (v2025),80.5,200.5,173.1,FWD,2169.5,286.5,8.6,8.2,361.7
Rivian,R1S Dual Motor (v2024),92.6,236.7,233.8,AWD,2442.4,675.2,4.3,4.7,349.0
Mercedes,EQG 580 (v2025),54.7,195.6,148.9,RWD,1786.3,172.6,10.0,3.0,259.6
Chevrolet,Bolt EV (v2023),51.7,209.9,160.6,AWD,1887.0,157.5,9.7,1.7,227.9
BYD,Tang EV (v2021),97.5,214.0,180.6,FWD,2246.3,291.8,8.7,3.7,444.0
Chevrolet,Blazer EV RS (v2024),46.6,186.7,139.0,FWD,1868.6,103.8,11.3,1.6,237.4
Toyota,bZ3 (v2025),91.7,207.1,175.3,RWD,2441.3,239.5,9.3,6.0,428.0
BMW,iX1 xDrive30 (v2023),49.6,193.4,157.8,RWD,1695.2,215.9,9.4,3.1,229.9
Nissan,Ariya e-4ORCE (v2023),72.4,197.8,181.9,RWD,2027.2,305.5,8.0,2.2,334.3
Chevrolet,Blazer EV RS (v2021),88.6,206.4,175.3,RWD,2311.0,235.6,9.2,4.6,382.4
Volkswagen,ID.3 Pro (v2021),74.3,196.0,159.2,FWD,2269.1,181.0,10.0,4.6,355.5
BYD,Dolphin Extended (v2023),76.4,199.7,166.0,FWD,2012.4,218.6,9.5,6.1,359.7
Kia,EV6 GT (v2023),90.2,200.6,168.7,RWD,2261.0,217.6,10.1,3.8,421.2
Kia,EV6 Light (v2023),83.8,219.0,187.7,FWD,2344.5,367.0,8.1,2.8,359.5
Tesla,Model 3 SR (v2025),80.2,230.1,207.2,AWD,2250.2,514.4,6.1,2.8,310.1
Chevrolet,Blazer EV RS (v2025),73.5,211.7,171.9,RWD,2267.2,200.4,9.6,4.6,329.9
Chevrolet,Blazer EV RS (v2021),62.6,202.9,152.0,FWD,1831.6,146.7,10.8,2.0,274.0
Kia,Niro EV (v2023),63.4,200.6,153.2,RWD,2057.4,197.5,10.0,3.6,309.3
Toyota,bZ4X FWD (v2025),80.0,199.9,172.6,RWD,2057.4,243.8,9.2,4.6,377.3
MG,MG5 EV (v2022),72.5,183.5,175.1,RWD,1881.2,296.8,8.9,3.8,348.3
Nissan,Townstar EV (v2024),46.2,187.9,145.7,FWD,1813.2,103.0,11.0,1.6,235.9
Audi,Q8 55 e-tron (v2023),63.8,202.5,173.1,FWD,1871.4,177.0,9.6,3.3,288.4
Porsche,Macan EV Turbo (v2025),88.4,223.8,202.3,AWD,2372.6,518.6,6.2,3.1,381.4
Honda,Prologue EX (v2021),46.8,197.9,149.7,FWD,1719.1,147.3,10.3,2.4,219.9
BMW,iX xDrive40 (v2024),55.5,181.9,143.6,RWD,1677.0,124.5,10.3,2.0,284.2
Chevrolet,Silverado EV WT (v2023),93.7,215.0,204.5,FWD,2350.1,418.7,7.0,3.0,421.6
Volkswagen,ID.3 Pro (v2025),71.8,199.9,172.4,RWD,2195.4,262.1,8.6,5.2,328.0
BYD,Tang EV (v2025),89.1,235.0,192.0,AWD,2489.9,355.3,7.9,4.1,359.3
Nissan,Leaf e+ (v2024),64.3,210.2,165.3,AWD,2134.8,210.1,9.4,2.8,285.3
Ford,F-150 Lightning Extended (v2023),71.6,194.7,151.1,FWD,2104.5,160.1,9.9,2.8,325.3
MG,MG5 EV (v2024),74.3,207.7,169.7,RWD,2058.5,251.1,8.8,3.4,339.9
Nissan,Leaf e+ (v2023),50.2,208.6,150.7,AWD,2018.6,153.4,10.6,4.7,214.1
Ford,Mustang Mach-E ER (v2022),93.9,223.2,175.5,AWD,2530.8,236.8,9.5,2.7,378.3
Toyota,bZ3 (v2023),95.3,228.5,178.6,RWD,2482.7,328.5,8.3,2.9,384.4
MG,MG4 EV XPOWER (v2021),43.6,187.5,160.1,FWD,1664.9,186.9,9.4,1.6,213.5
Toyota,bZ4X AWD (v2021),106.0,216.2,175.9,FWD,2530.0,312.4,8.2,6.2,465.7
Volkswagen,ID.7 Pro (v2025),95.6,224.3,173.9,AWD,2512.1,229.7,9.0,9.2,386.0
